id,name,lat,lon
992,"50.88, 14.38",50.875,14.375
993,"51.38, 14.38",51.375,14.375
994,"51.88, 14.38",51.875,14.375
995,"52.38, 14.38",52.375,14.375
996,"52.88, 14.38",52.875,14.375
997,"53.38, 14.38",53.375,14.375
998,"53.88, 14.38",53.875,14.375
1015,"49.88, 14.88",49.875,14.875
1016,"50.38, 14.88",50.375,14.875
1017,"50.88, 14.88",50.875,14.875
1018,"51.38, 14.88",51.375,14.875
1019,"51.88, 14.88",51.875,14.875
1020,"52.38, 14.88",52.375,14.875
1021,"52.88, 14.88",52.875,14.875
1022,"53.38, 14.88",53.375,14.875
1023,"53.88, 14.88",53.875,14.875
1040,"49.88, 15.38",49.875,15.375
1041,"50.38, 15.38",50.375,15.375
1042,"50.88, 15.38",50.875,15.375
1043,"51.38, 15.38",51.375,15.375
1044,"51.88, 15.38",51.875,15.375
1045,"52.38, 15.38",52.375,15.375
1046,"52.88, 15.38",52.875,15.375
1047,"53.38, 15.38",53.375,15.375
1048,"53.88, 15.38",53.875,15.375
1066,"50.38, 15.88",50.375,15.875
1067,"50.88, 15.88",50.875,15.875
1068,"51.38, 15.88",51.375,15.875
1069,"51.88, 15.88",51.875,15.875
1070,"52.38, 15.88",52.375,15.875
1071,"52.88, 15.88",52.875,15.875
1072,"53.38, 15.88",53.375,15.875
1073,"53.88, 15.88",53.875,15.875
